Simple Viewport Shading (ms);Material Viewport Shading (ms)
52.54459998;18.59330002
58.79379995;134.6411
14.09299998;38.52639999
52.30079999;37.26849996
21.17680002;75.86849993
16.45829994;32.15480002
18.06189993;16.70170005
15.10359999;24.54160003
16.84439997;23.75709999
16.27139992;24.21850001
14.36219993;26.09569998
15.26529994;22.26810006
15.52760007;25.20060004
11.02899993;25.95579997
17.86120003;24.84680002
16.24189992;23.29859999
11.27950009;23.12849998
9.97749995;22.68150006
12.33709999;25.46309994
9.88309993;23.30760006
23.15390005;23.19059998
10.33690001;21.50809998
9.71140002;29.35259999
11.18030003;21.02759993
14.74979997;22.22010004
13.94969993;22.25579997
15.19139996;22.37849997
13.48950004;28.29449996
22.94170007;24.11899995
14.99160007;26.72259999
12.12700002;28.66039996
17.12629991;26.53889998
26.82529995;48.63089998
13.61320005;26.34350001
16.21400006;23.93299993
14.09800001;25.90909996
15.85600001;25.35050001
14.35969991;23.85430003
15.34349995;23.52329995
12.39519997;24.14200001
9.96289996;23.87380006
11.61619998;25.11130006
11.45620004;24.37250002
9.9381;22.9489
9.76490008;22.10419998
12.20880006;23.36009999
10.08320006;21.69959992
10.07170009;21.25779993
7.94419996;23.07699993
11.2376;22.73580001
9.53619997;22.35280001
9.66159999;22.36440009
12.19569996;23.3913
7.88759999;23.91920006
11.4074999;24.38389999
9.7866999;22.53019996
8.32140003;28.09639997
10.15730004;21.99739998
11.09290007;25.51259997
10.07980003;23.87650008
9.76479996;21.75780002
10.72470006;23.62749993
9.8921;25.92280007
9.62619996;23.34970003
8.83539999;23.81769998
13.23319995;23.49499997
11.11379999;23.51670002
9.59469995;24.10919999
12.92230003;24.294
10.88080008;26.29970002
9.91280004;21.79559995
11.03749999;26.94699995
9.63719992;22.97499997
7.87199999;27.45020005
8.43119994;39.29750004
7.91159994;25.4559
7.43349991;20.4413
8.86169996;23.00529997
8.74299998;26.71819995
8.80960003;27.63509995
10.32300002;22.27449999
10.55589993;23.99859997
7.46170001;24.29719991
11.20850001;25.36099998
7.9505;23.64769997
7.51979998;21.618
10.23729995;25.0881
8.28940002;21.90110006
8.39970005;25.32839996
10.44359989;23.28989992
8.50150001;23.9728
8.7146;22.84770005
9.54769994;20.12829995
9.30379995;23.97380001
8.29599996;23.99939997
9.18129995;23.26150006
10.23000001;23.61549996
8.01799993;23.62919995
7.1577999;26.13290004
8.69619998;24.83450004
7.80150003;21.26999991
7.10139994;24.36029993
7.64349999;22.13579998
8.54900002;22.76309999
9.14780004;23.31600001
9.14580002;24.2498999
9.72570002;23.70260004
9.09080007;26.25720005
8.8960001;24.38190009
7.74099992;19.76499998
9.39460006;22.01489999
10.38390002;22.49929996
7.55069999;22.22889999
11.78850001;22.73820003
8.30860005;27.28679997
10.67300001;25.7006
8.1185;25.26159992
8.39910004;22.40100002
8.91550002;23.76280003
8.85660003;26.59459994
8.74279998;25.09439993
8.72479996;23.67499995
9.86600004;22.62559999
9.71170003;21.16859995
8.05120007;24.3873999
10.15909994;23.07570004
11.97389991;23.86740001
7.59689999;24.22220004
9.13220004;24.20800005
10.18009998;23.50320003
7.68579997;22.52160001
8.29549995;23.03100005
10.12849994;24.95230001
9.74979997;25.62149998
9.66920005;23.20920001
7.93080009;26.04100003
9.68390005;20.8847
8.88780004;23.67200004
9.60290001;25.41440004
8.42129998;22.08280005
9.86879994;20.79680003
7.62459997;23.45810004
7.46649993;20.51559999
7.88659998;23.87359994
9.89890005;24.97370006
9.05360002;22.78420003
7.37719995;23.698
9.09399998;24.68709997
9.32139996;25.92449996
9.99599998;25.77179996
7.70720001;20.242
14.17550002;24.32760003
8.76140001;22.0157
10.48040006;23.12219993
8.07840005;24.18199996
